SonicOS 6.2 X-Series Solution Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,112059,191,NSA Series,nsa-series,tech-docs-category,"The SonicOS 6.2 X-Series Solution Deployment Guide includes descriptions about the SonicWall Unified Approach for SonicWall X-Series, provisioning an X-Switch on a SonicWall appliance, adding the X-Series switch to SonicOS and configuring X-Series for various network topologies.",Secure Remote Access,"SMA 1000, Remote Access Management and Reporting",SonicOS 6.2 X-Series Solution Deployment Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series/"">SonicOS 6.2 X-Series Solution Deployment Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf"">SonicOS 6.2 X-Series Solution Deployment Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,sonicos-6-2-x-series,,,,YES,112059,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,saved as generic name & its good,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2 X-Series Solution Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,112059,320,NSa Series,nsa-series-1,tech-docs-category,"The SonicOS 6.2 X-Series Solution Deployment Guide includes descriptions about the SonicWall Unified Approach for SonicWall X-Series, provisioning an X-Switch on a SonicWall appliance, adding the X-Series switch to SonicOS and configuring X-Series for various network topologies.",Secure Remote Access,,SonicOS 6.2 X-Series Solution Deployment Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series/"">SonicOS 6.2 X-Series Solution Deployment Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf"">SonicOS 6.2 X-Series Solution Deployment Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,sonicos-6-2-x-series,,,,YES,112059,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2 X-Series Solution Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,112059,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,"The SonicOS 6.2 X-Series Solution Deployment Guide includes descriptions about the SonicWall Unified Approach for SonicWall X-Series, provisioning an X-Switch on a SonicWall appliance, adding the X-Series switch to SonicOS and configuring X-Series for various network topologies.",Secure Remote Access,,SonicOS 6.2 X-Series Solution Deployment Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series/"">SonicOS 6.2 X-Series Solution Deployment Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf"">SonicOS 6.2 X-Series Solution Deployment Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,sonicos-6-2-x-series,,,,YES,112059,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2 X-Series Solution Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,112059,279,TZ Series,tz-series,tech-docs-category,"The SonicOS 6.2 X-Series Solution Deployment Guide includes descriptions about the SonicWall Unified Approach for SonicWall X-Series, provisioning an X-Switch on a SonicWall appliance, adding the X-Series switch to SonicOS and configuring X-Series for various network topologies.",Secure Remote Access,,SonicOS 6.2 X-Series Solution Deployment Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series/"">SonicOS 6.2 X-Series Solution Deployment Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf"">SonicOS 6.2 X-Series Solution Deployment Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-x-series.pdf,sonicos-6-2-x-series,,,,YES,112059,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,,191,NSA Series,nsa-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for SonicOS 6.2.5 / 6.2.7 / 6.2.9, including SonicOS 6.2.7.7. The Log Event Message Index table lists all events by event ID number. The Syslog Tags table lists and describes all available Syslog tags which contain additional information specific to the log event.",Secure Remote Access,SMA 1000,SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide/"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide,Reference,,,YES,,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for SonicOS 6.2.5 / 6.2.7 / 6.2.9, including SonicOS 6.2.7.7. The Log Event Message Index table lists all events by event ID number. The Syslog Tags table lists and describes all available Syslog tags which contain additional information specific to the log event.",Secure Remote Access,,SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide/"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide,Reference,,,YES,,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,,279,TZ Series,tz-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for SonicOS 6.2.5 / 6.2.7 / 6.2.9, including SonicOS 6.2.7.7. The Log Event Message Index table lists all events by event ID number. The Syslog Tags table lists and describes all available Syslog tags which contain additional information specific to the log event.",Secure Remote Access,,SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide/"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf"">SonicOS 6.2.5-6.2.7-6.2.9 Combined Log Event Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide.pdf,sonicos-6-2-5-6-2-7-6-2-9-combined-log-event-reference-guide,Reference,,,YES,,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 About SonicOS,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,120918,191,NSA Series,nsa-series,tech-docs-category,The SonicWall SonicOS 6.5 About SonicOS Administration Guide provides basic information about SonicOS and where to find additional instructions for configuration and management. ,Secure Remote Access,"SMA 1000, VPN Client",SonicOS 6.5 About SonicOS,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about/"">SonicOS 6.5 About SonicOS</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf"">SonicOS 6.5 About SonicOS</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,sonicos-6-5-about,about,,,YES,120918,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 About SonicOS,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,120918,320,NSa Series,nsa-series-1,tech-docs-category,The SonicWall SonicOS 6.5 About SonicOS Administration Guide provides basic information about SonicOS and where to find additional instructions for configuration and management. ,Secure Remote Access,,SonicOS 6.5 About SonicOS,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about/"">SonicOS 6.5 About SonicOS</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf"">SonicOS 6.5 About SonicOS</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,sonicos-6-5-about,about,,,YES,120918,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 About SonicOS,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,120918,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,The SonicWall SonicOS 6.5 About SonicOS Administration Guide provides basic information about SonicOS and where to find additional instructions for configuration and management. ,Secure Remote Access,,SonicOS 6.5 About SonicOS,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about/"">SonicOS 6.5 About SonicOS</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf"">SonicOS 6.5 About SonicOS</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,sonicos-6-5-about,about,,,YES,120918,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 About SonicOS,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,120918,279,TZ Series,tz-series,tech-docs-category,The SonicWall SonicOS 6.5 About SonicOS Administration Guide provides basic information about SonicOS and where to find additional instructions for configuration and management. ,Secure Remote Access,,SonicOS 6.5 About SonicOS,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about/"">SonicOS 6.5 About SonicOS</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf"">SonicOS 6.5 About SonicOS</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-about.pdf,sonicos-6-5-about,about,,,YES,120918,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Connectivity,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,169277,191,NSA Series,nsa-series,tech-docs-category,"The SonicWall SonicOS 6.5 Connectivity Administration document provides detailed descriptions for successfully activating, configuring, and administering SonicOS 6.5 for SonicWall security appliances.",Secure Remote Access,SMA 1000,SonicOS 6.5 Connectivity,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity/"">SonicOS 6.5 Connectivity</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf"">SonicOS 6.5 Connectivity</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,sonicos-6-5-connectivity,,,,YES,169277,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Issues found,Loading slow,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Connectivity,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,169277,320,NSa Series,nsa-series-1,tech-docs-category,"The SonicWall SonicOS 6.5 Connectivity Administration document provides detailed descriptions for successfully activating, configuring, and administering SonicOS 6.5 for SonicWall security appliances.",Secure Remote Access,,SonicOS 6.5 Connectivity,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity/"">SonicOS 6.5 Connectivity</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf"">SonicOS 6.5 Connectivity</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,sonicos-6-5-connectivity,,,,YES,169277,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Connectivity,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,169277,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,"The SonicWall SonicOS 6.5 Connectivity Administration document provides detailed descriptions for successfully activating, configuring, and administering SonicOS 6.5 for SonicWall security appliances.",Secure Remote Access,,SonicOS 6.5 Connectivity,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity/"">SonicOS 6.5 Connectivity</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf"">SonicOS 6.5 Connectivity</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,sonicos-6-5-connectivity,,,,YES,169277,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Connectivity,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,169277,279,TZ Series,tz-series,tech-docs-category,"The SonicWall SonicOS 6.5 Connectivity Administration document provides detailed descriptions for successfully activating, configuring, and administering SonicOS 6.5 for SonicWall security appliances.",Secure Remote Access,,SonicOS 6.5 Connectivity,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity/"">SonicOS 6.5 Connectivity</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf"">SonicOS 6.5 Connectivity</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-connectivity.pdf,sonicos-6-5-connectivity,,,,YES,169277,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Investigate,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,147660,191,NSA Series,nsa-series,tech-docs-category,"The Investigate Administration document for SonicWall SonicOS 6.5 provides detailed descriptions for successfully accessing logs, reports, and tools associated with the SonicOS 6.5 Investigate functions.",Secure Remote Access,SMA 1000,SonicOS 6.5 Investigate,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate/"">SonicOS 6.5 Investigate</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf"">SonicOS 6.5 Investigate</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,sonicos-6-5-investigate,,,,YES,147660,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Investigate,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,147660,320,NSa Series,nsa-series-1,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Investigate,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate/"">SonicOS 6.5 Investigate</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf"">SonicOS 6.5 Investigate</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,sonicos-6-5-investigate,,,,YES,147660,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Investigate,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,147660,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,"The Investigate Administration document for SonicWall SonicOS 6.5 provides detailed descriptions for successfully accessing logs, reports, and tools associated with the SonicOS 6.5 Investigate functions.",Secure Remote Access,,SonicOS 6.5 Investigate,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate/"">SonicOS 6.5 Investigate</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf"">SonicOS 6.5 Investigate</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,sonicos-6-5-investigate,,,,YES,147660,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Investigate,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,147660,279,TZ Series,tz-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Investigate,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate/"">SonicOS 6.5 Investigate</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf"">SonicOS 6.5 Investigate</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-investigate.pdf,sonicos-6-5-investigate,,,,YES,147660,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Log and Reporting,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,128560,191,NSA Series,nsa-series,tech-docs-category,"The SonicWall SonicOS 6.5 Logs and Reporting Administration Guide provides detailed descriptions for navigating settings, configuring automations, and accessing reports associated with the SonicOS 6.5 Logs and Reporting functions.",Secure Remote Access,SMA 1000,SonicOS 6.5 Log and Reporting,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting/"">SonicOS 6.5 Log and Reporting</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf"">SonicOS 6.5 Log and Reporting</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,sonicos-6-5-logs-and-reporting,Reporting,,reporting,YES,128560,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Log and Reporting,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,128560,320,NSa Series,nsa-series-1,tech-docs-category,"The SonicWall SonicOS 6.5 Logs and Reporting Administration Guide provides detailed descriptions for navigating settings, configuring automations, and accessing reports associated with the SonicOS 6.5 Logs and Reporting functions.",Secure Remote Access,,SonicOS 6.5 Log and Reporting,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting/"">SonicOS 6.5 Log and Reporting</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf"">SonicOS 6.5 Log and Reporting</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,sonicos-6-5-logs-and-reporting,Reporting,,reporting,YES,128560,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5 Log and Reporting,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,128560,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Log and Reporting,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting/"">SonicOS 6.5 Log and Reporting</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf"">SonicOS 6.5 Log and Reporting</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,sonicos-6-5-logs-and-reporting,Reporting,,reporting,YES,128560,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Log and Reporting,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,128560,279,TZ Series,tz-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Log and Reporting,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting/"">SonicOS 6.5 Log and Reporting</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf"">SonicOS 6.5 Log and Reporting</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-logs-and-reporting.pdf,sonicos-6-5-logs-and-reporting,Reporting,,reporting,YES,128560,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Monitor,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,130699,191,NSA Series,nsa-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Monitor,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor/"">SonicOS 6.5 Monitor</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf"">SonicOS 6.5 Monitor</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,sonicos-6-5-monitor,,,,YES,130699,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Monitor,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,130699,320,NSa Series,nsa-series-1,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Monitor,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor/"">SonicOS 6.5 Monitor</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf"">SonicOS 6.5 Monitor</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,sonicos-6-5-monitor,,,,YES,130699,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Monitor,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,130699,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Monitor,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor/"">SonicOS 6.5 Monitor</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf"">SonicOS 6.5 Monitor</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,sonicos-6-5-monitor,,,,YES,130699,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 Monitor,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,130699,279,TZ Series,tz-series,tech-docs-category,,Secure Remote Access,SMA 1000,SonicOS 6.5 Monitor,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor/"">SonicOS 6.5 Monitor</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf"">SonicOS 6.5 Monitor</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-monitor.pdf,sonicos-6-5-monitor,,,,YES,130699,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,,,,No Conversion,Mapped,
SonicOS 6.5 NSsp12k SM9800 About SonicOS,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-nssp12k-sm9800-about-sonicos.pdf,,329,NSsp Series,nssp-series,tech-docs-category,,Secure Wireless Products,SonicPoint Series,SonicOS 6.5 NSsp12k SM9800 About SonicOS,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-nssp12k-sm9800-about-sonicos/"">SonicOS 6.5 NSsp12k SM9800 About SonicOS</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-nssp12k-sm9800-about-sonicos.pdf"">SonicOS 6.5 NSsp12k SM9800 About SonicOS</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-nssp12k-sm9800-about-sonicos.pdf,sonicos-6-5-nssp12k-sm9800-about-sonicos,about,,,YES,,329,NSsp Series,Firewalls,English,nssp-series,tech-docs-category,,,,No Conversion,Mapped,
